"bulan";"product_category_name";"product_category_name_englishh";"jumlah"
"2017-07";"moveis_colchao_e_estofado";"furniture_mattress_and_upholstery";1
"2017-07";"agro_industria_e_comercio";"agro_industry_and_commerce";1
"2017-07";"musica";"music";1
"2017-07";"artigos_de_festas";"party_supplies";1
"2017-07";"construcao_ferramentas_iluminacao";"construction_tools_lights";1
"2017-07";"fashion_esporte";"fashion_sport";1
"2017-07";"casa_conforto_2";"home_comfort_2";1
"2017-08";"cama_mesa_banho";"bed_bath_table";506
"2017-08";"moveis_decoracao";"furniture_decor";426
"2017-08";"esporte_lazer";"sports_leisure";417
"2017-08";"beleza_saude";"health_beauty";352
"2017-08";"informatica_acessorios";"computers_accessories";341
"2017-08";"utilidades_domesticas";"housewares";280
"2017-08";"cool_stuff";"cool_stuff";256
"2017-08";"ferramentas_jardim";"garden_tools";233
"2017-08";"relogios_presentes";"watches_gifts";211
"2017-08";"brinquedos";"toys";182
"2017-08";"automotivo";"auto";161
"2017-08";"telefonia";"telephony";132
"2017-08";"perfumaria";"perfumery";127
"2017-08";"bebes";"baby";127
"2017-08";"fashion_bolsas_e_acessorios";"fashion_bags_accessories";95
"2017-08";"pet_shop";"pet_shop";89
"2017-08";"consoles_games";"consoles_games";84
"2017-08";"papelaria";"stationery";80
"2017-08";"";"Unknown";75
"2017-08";"malas_acessorios";"luggage_accessories";62
"2017-08";"moveis_escritorio";"office_furniture";58
"2017-08";"eletronicos";"electronics";56
"2017-08";"eletrodomesticos";"home_appliances";42
"2017-08";"eletroportateis";"small_appliances";36
"2017-08";"pcs";"computers";28
"2017-08";"casa_conforto";"home_confort";28
"2017-08";"livros_interesse_geral";"books_general_interest";27
"2017-08";"instrumentos_musicais";"musical_instruments";23
"2017-08";"moveis_sala";"furniture_living_room";23
"2017-08";"market_place";"market_place";23
"2017-08";"fashion_calcados";"fashion_shoes";22
"2017-08";"telefonia_fixa";"fixed_telephony";20
"2017-08";"alimentos_bebidas";"food_drink";15
"2017-08";"eletrodomesticos_2";"home_appliances_2";15
"2017-08";"climatizacao";"air_conditioning";15
"2017-08";"fashion_roupa_masculina";"fashion_male_clothing";14
"2017-08";"fashion_underwear_e_moda_praia";"fashion_underwear_beach";13
"2017-08";"construcao_ferramentas_jardim";"costruction_tools_garden";10
"2017-08";"livros_tecnicos";"books_technical";9
"2017-08";"alimentos";"food";8
"2017-08";"moveis_cozinha_area_de_servico_jantar_e_jardim";"kitchen_dining_laundry_garden_furniture";7
"2017-08";"audio";"audio";7
"2017-08";"construcao_ferramentas_construcao";"construction_tools_construction";7
"2017-08";"dvds_blu_ray";"dvds_blu_ray";6
"2017-08";"tablets_impressao_imagem";"tablets_printing_image";6
"2017-08";"artes";"art";4
"2017-08";"fashion_roupa_feminina";"fashio_female_clothing";4
"2017-08";"agro_industria_e_comercio";"agro_industry_and_commerce";4
"2017-08";"sinalizacao_e_seguranca";"signaling_and_security";4
"2017-08";"cds_dvds_musicais";"cds_dvds_musicals";3
"2017-08";"moveis_quarto";"furniture_bedroom";3
"2017-08";"casa_conforto_2";"home_comfort_2";3
"2017-08";"industria_comercio_e_negocios";"industry_commerce_and_business";3
"2017-08";"bebidas";"drinks";2
"2017-08";"moveis_colchao_e_estofado";"furniture_mattress_and_upholstery";2
"2017-08";"fashion_esporte";"fashion_sport";2
"2017-08";"construcao_ferramentas_iluminacao";"construction_tools_lights";2
"2017-08";"la_cuisine";"la_cuisine";2
"2017-08";"portateis_casa_forno_e_cafe";"small_appliances_home_oven_and_coffee";1
"2017-08";"construcao_ferramentas_seguranca";"construction_tools_safety";1
"2017-08";"artigos_de_natal";"christmas_supplies";1
"2017-08";"casa_construcao";"home_construction";1
"2017-08";"livros_importados";"books_imported";1
"2017-09";"cama_mesa_banho";"bed_bath_table";528
"2017-09";"esporte_lazer";"sports_leisure";453
"2017-09";"beleza_saude";"health_beauty";376
"2017-09";"moveis_decoracao";"furniture_decor";343
"2017-09";"brinquedos";"toys";289
"2017-09";"relogios_presentes";"watches_gifts";264
"2017-09";"utilidades_domesticas";"housewares";249
"2017-09";"informatica_acessorios";"computers_accessories";247
"2017-09";"ferramentas_jardim";"garden_tools";222
